era_SectionOfLine;era_SectionOfLine_era_opStart;era_SectionOfLine_era_opStart__label;era_SectionOfLine_era_nationalLine_rdfs_label;era_SectionOfLine_era_lengthOfSectionOfLine;era_SectionOfLine_era_opEnd;era_SectionOfLine_era_opEnd__label;CUSTOM_VAR_IN_COUNTRY;CUSTOM_VAR_IN_COUNTRY__label;__type;__label
http://data.europa.eu/949/sectionOfLine/6acd775580;http://data.europa.eu/949/operationalPoint/b162223f0e;Spjutbäcken;69;25.617;http://data.europa.eu/949/operationalPoint/15fdc79260;Storfors;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/e53d899428;http://data.europa.eu/949/operationalPoint/1581598c17;Gullträsk;21;9.581;http://data.europa.eu/949/operationalPoint/ccedda7787;Lakaträsk;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/a30e8afbc9;http://data.europa.eu/949/operationalPoint/6a844ff364;Flemingsberg;1;3.506;http://data.europa.eu/949/operationalPoint/abfa6525eb;Utsikten;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/43a8163978;http://data.europa.eu/949/operationalPoint/19b3cb41b6;Ekolsund;16;7.901;http://data.europa.eu/949/operationalPoint/b849f155e7;Grillby;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/6db1f35b2d;http://data.europa.eu/949/operationalPoint/f0cdf74c1f;Mjölby;2;8.316;http://data.europa.eu/949/operationalPoint/eed7ee429b;Lindekullen;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/9810f4f500;http://data.europa.eu/949/operationalPoint/317fa995ee;Alby;8;7.912;http://data.europa.eu/949/operationalPoint/8234bc1749;Ovansjö;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/8073a21f69;http://data.europa.eu/949/operationalPoint/756b10de39;Motala central;9;9.374;http://data.europa.eu/949/operationalPoint/05ed6eff01;Fågelsta;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/76b51776a0;http://data.europa.eu/949/operationalPoint/2764a7e43b;Söråkers södra;31;13.047;http://data.europa.eu/949/operationalPoint/9e89352bd3;Hussjöby;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/b6a6d2d093;http://data.europa.eu/949/operationalPoint/bb813aa9e2;Gunnarn;99;28.862;http://data.europa.eu/949/operationalPoint/97b70b9b0d;TRV-IBAB border Storuman;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/1df9050495;http://data.europa.eu/949/operationalPoint/83b92b7e3a;Burlöv;24;1.062;http://data.europa.eu/949/operationalPoint/6bc53ff68d;Arlöv;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
