era_OperationalPoint;era_OperationalPoint_era_opType;era_OperationalPoint_era_opType__label;era_OperationalPoint_era_uopid;era_OperationalPoint_era_primaryLocation;era_OperationalPoint_era_primaryLocation__label;era_OperationalPoint_era_netReference_geosparql_hasGeometry_geosparql_asWKT;era_OperationalPoint_era_opName;CUSTOM_VAR_IN_COUNTRY;CUSTOM_VAR_IN_COUNTRY__label
http://data.europa.eu/949/operationalPoint/204a1232a3;http://data.europa.eu/949/concepts/op-types/80;junction;SEKtä;http://data.europa.eu/949/primaryLocation/SE10282;SE10282;POINT(20.8646 65.6647);Korsträsk;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/0e955f7058;http://data.europa.eu/949/concepts/op-types/80;junction;SETöe;http://data.europa.eu/949/primaryLocation/SE10554;SE10554;POINT(12.6434 58.9714);Tösse;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/19b3cb41b6;http://data.europa.eu/949/concepts/op-types/80;junction;SEEko;http://data.europa.eu/949/primaryLocation/SE10095;SE10095;POINT(17.3702 59.6141);Ekolsund;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/5ba29bd3bf;http://data.europa.eu/949/concepts/op-types/80;junction;SEÄsg;http://data.europa.eu/949/primaryLocation/SE04818;SE04818;POINT(18.0208 59.2911);Älvsjö godsbangård;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/7b07602d9e;http://data.europa.eu/949/concepts/op-types/20;small station;SEÖvn;http://data.europa.eu/949/primaryLocation/SE10632;SE10632;POINT(13.0336 55.6068);Östervärn;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/bb2fa016a5;http://data.europa.eu/949/concepts/op-types/20;small station;SEVs;http://data.europa.eu/949/primaryLocation/SE04543;SE04543;POINT(14.4565 56.7887);Vislanda;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/39b068e17e;http://data.europa.eu/949/concepts/op-types/80;junction;SEÅd;http://data.europa.eu/949/primaryLocation/SE10602;SE10602;POINT(16.879 63.4396);Ådalsliden;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/11606a5808;http://data.europa.eu/949/concepts/op-types/80;junction;SERyr;http://data.europa.eu/949/primaryLocation/SE10435;SE10435;POINT(12.1387 58.3318);Ryr;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/2c35cb6b89;http://data.europa.eu/949/concepts/op-types/80;junction;SEJnt;http://data.europa.eu/949/primaryLocation/SE10247;SE10247;POINT(20.7401 65.639);Järneträsk;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/8f71f1ef9f;http://data.europa.eu/949/concepts/op-types/80;junction;SEBud;http://data.europa.eu/949/primaryLocation/SE10066;SE10066;POINT(21.7084 65.863);Buddbyn;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/08cff355ac;http://data.europa.eu/949/concepts/op-types/20;small station;SEGan;http://data.europa.eu/949/primaryLocation/SE00325;SE00325;POINT(12.809 55.989);Gantofta;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/b55e22cd9d;http://data.europa.eu/949/concepts/op-types/20;small station;SEUv;http://data.europa.eu/949/primaryLocation/SE04314;SE04314;POINT(11.9234 58.3542);Uddevalla central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/470c021a88;http://data.europa.eu/949/concepts/op-types/20;small station;SEÖte;http://data.europa.eu/949/primaryLocation/SE04947;SE04947;POINT(17.6584 59.185);Östertälje;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/43a57cf2fc;http://data.europa.eu/949/concepts/op-types/20;small station;SEFeb;http://data.europa.eu/949/primaryLocation/SE00858;SE00858;POINT(15.595 59.4328);Fellingsbro;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/45ca33a60b;http://data.europa.eu/949/concepts/op-types/20;small station;SESro;http://data.europa.eu/949/primaryLocation/SE03783;SE03783;POINT(15.8522 57.584);Storebro;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/a700646e3d;http://data.europa.eu/949/concepts/op-types/80;junction;SENl;http://data.europa.eu/949/primaryLocation/SE02865;SE02865;POINT(16.325 58.0898);Nelhammar;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/6d21b9b4f9;http://data.europa.eu/949/concepts/op-types/80;junction;SESru;http://data.europa.eu/949/primaryLocation/SE10675;SE10675;POINT(15.3672 56.6778);Skruv;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/88fc639955;http://data.europa.eu/949/concepts/op-types/80;junction;SETmö;http://data.europa.eu/949/primaryLocation/SE10653;SE10653;POINT(18.0164 59.3511);Tomteboda övre;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/e0beab0e56;http://data.europa.eu/949/concepts/op-types/80;junction;SEBtb;http://data.europa.eu/949/primaryLocation/SE01595;SE01595;POINT(19.8816 63.911);Brattby;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/3c71913a10;http://data.europa.eu/949/concepts/op-types/80;junction;SETtu;http://data.europa.eu/949/primaryLocation/SE04174;SE04174;POINT(16.7208 59.6698);Tortuna;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/5a50ad78f4;http://data.europa.eu/949/concepts/op-types/20;small station;SEÖh;http://data.europa.eu/949/primaryLocation/SE04876;SE04876;POINT(17.7035 60.2293);Örbyhus;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/9f41546d6e;http://data.europa.eu/949/concepts/op-types/20;small station;SELe;http://data.europa.eu/949/primaryLocation/SE02480;SE02480;POINT(22.1656 65.5841);Luleå;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/f26046bc70;http://data.europa.eu/949/concepts/op-types/80;junction;SEÅmn;http://data.europa.eu/949/primaryLocation/SE10608;SE10608;POINT(14.9775 56.2124);Ångsågsmossen;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/3fa75824dd;http://data.europa.eu/949/concepts/op-types/20;small station;SEKil;http://data.europa.eu/949/primaryLocation/SE01982;SE01982;POINT(13.3159 59.5047);Kil;http://publications.europa.eu/resource/authority/country/SWE;Sweden
